Country Rank,Country/Territory,Country Code,Region,CPI 2014,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90% Upper CI,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,
126,Togo,TGO,AF,29,5,3.69,21,42,23,35,27,,32,,21,23,,,,42,,,
133,Madagascar,MDG,AF,28,8,3.38,12,42,22,34,20,,28,,31,12,28,26,38,42,,,
133,Nicaragua,NIC,AM,28,7,2.03,21,35,25,31,,,28,,21,35,31,30,21,32,,,
133,Timor-Leste,TLS,AP,28,3,5.18,22,38,20,36,,,,,,23,38,,,22,,,
136,Cameroon,CMR,AF,27,8,2.87,18,42,22,32,42,,28,,31,23,34,18,21,22,,,
136,Iran,IRN,ME,27,6,4.72,15,43,19,35,,,15,,21,,40,43,21,22,,,
136,Kyrgyzstan,KGZ,EE,27,6,2.35,19,35,23,31,,,23,,,35,28,19,,32,,26,
136,Lebanon,LBN,ME,27,6,3.37,16,38,21,33,,,23,,21,,16,32,38,32,,,
136,Nigeria,NGA,AF,27,8,2.82,19,37,22,32,37,,36,,21,35,22,19,21,22,,,
136,Russia,RUS,EE,27,8,2.61,21,38,23,31,,,28,35,21,,38,35,21,22,,21,
142,Comoros,COM,AF,26,3,8.75,12,42,12,40,12,,,,,23,,,,42,,,
142,Uganda,UGA,AF,26,8,3.03,12,38,21,31,30,,36,,21,12,27,22,38,22,,,
142,Ukraine,UKR,EE,26,8,1.64,20,32,23,29,,,28,26,21,,31,20,21,32,,26,
145,Bangladesh,BGD,AP,25,7,4.23,18,50,18,32,,,23,,50,23,18,19,21,22,,,
145,Guinea,GIN,AF,25,7,3.21,15,40,20,30,32,,40,,21,23,15,,21,22,,,
145,Kenya,KEN,AF,25,8,2.98,11,35,20,30,35,,28,,21,35,33,20,21,11,,,
145,Laos,LAO,AP,25,4,3.80,19,36,19,31,,,19,,,23,36,,,22,,,
145,Papua New Guinea,PNG,AP,25,5,4.16,11,35,18,32,,,28,,31,35,,,21,11,,,
150,Central African Republic,CAF,AF,24,4,1.33,22,28,22,26,22,,28,,,23,,,,22,,,
150,Paraguay,PRY,AM,24,5,2.95,21,36,19,29,,,36,,21,,22,,21,22,,,
152,Congo Republic,COG,AF,23,6,4.20,12,42,16,30,42,,19,,21,12,,,21,22,,,
152,Tajikistan,TJK,EE,23,5,5.32,11,42,14,32,,,15,,,23,42,,,11,,26,
154,Chad,TCD,AF,22,5,2.95,12,30,17,27,30,,23,,,12,24,,,22,,,
154,Democratic Republic of the Congo,COD,AF,22,5,4.19,12,37,15,29,37,,19,,21,12,,,,22,,,
156,Cambodia,KHM,AP,21,7,2.25,12,27,17,25,,,15,,,12,27,25,21,22,26,,
156,Myanmar,MMR,AP,21,7,2.87,11,35,16,26,,,15,,21,23,20,35,21,11,,,
156,Zimbabwe,ZWE,AF,21,8,4.18,0,38,14,28,17,,23,,12,0,34,20,38,22,,,
159,Burundi,BDI,AF,20,5,3.65,11,28,14,26,27,,23,,,12,28,,,11,,,
159,Syria,SYR,ME,20,4,5.31,6,32,11,29,,,6,,21,,,,21,32,,,
161,Angola,AGO,AF,19,6,1.71,11,23,16,22,,,19,,21,23,17,,21,11,,,
161,Guinea-Bissau,GNB,AF,19,4,2.37,12,22,15,23,20,,,,21,12,,,,22,,,
161,Haiti,HTI,AM,19,5,2.86,11,23,14,24,,,23,,12,23,23,,,11,,,
161,Venezuela,VEN,AM,19,7,1.69,12,25,16,22,,,19,25,12,,14,22,21,22,,,
